GEOID,sovi,rank,fema_region
g16019,-1.7045904663531948,93.0,FEMA_10
g16021,-0.9631247630457712,77.0,FEMA_10
g16023,-0.1739399160353039,66.0,FEMA_10
g16025,-4.389783389521986,109.0,FEMA_10
g16027,1.36203250825766,45.0,FEMA_10
g16029,-4.723293033862945,113.0,FEMA_10
g16031,-0.3512748833380494,68.0,FEMA_10
g16033,-0.6885136267395353,71.0,FEMA_10
g16035,-1.1484657553044253,83.0,FEMA_10
g16037,-4.479138603038054,110.0,FEMA_10
g16039,-1.7634980110513143,94.0,FEMA_10
g16041,-6.114430793357537,117.0,FEMA_10
g16043,-5.499468383879026,116.0,FEMA_10
g16045,2.056527227621401,27.0,FEMA_10
g16047,-0.38779928657962515,69.0,FEMA_10
g16049,1.5427694267506398,41.0,FEMA_10
g16051,-4.527934062150327,111.0,FEMA_10
g16053,1.335662574791351,46.0,FEMA_10
g16055,-0.8961871028162229,76.0,FEMA_10
g16057,-1.5843271497588427,91.0,FEMA_10
g16059,0.30880184409434486,59.0,FEMA_10
g16061,1.980390755070798,30.0,FEMA_10
g16063,-1.003820454884698,78.0,FEMA_10
g16065,-1.956450560778923,96.0,FEMA_10
g16067,0.6108621346972255,55.0,FEMA_10
g16069,1.314393445447495,47.0,FEMA_10
g16071,-3.696768325218974,106.0,FEMA_10
g16073,1.7516627834822436,36.0,FEMA_10
g16075,1.8871990936088026,33.0,FEMA_10
g16077,-1.4856474065551972,88.0,FEMA_10
g16079,1.8990044612215242,32.0,FEMA_10
g16081,-6.469305362671346,118.0,FEMA_10
g16083,0.7396728481088565,53.0,FEMA_10
g16085,-4.797626753730233,114.0,FEMA_10
g16087,3.261510989188732,10.0,FEMA_10
g17001,0.9137201456387791,173.0,FEMA_5
g17003,6.458233348444202,7.0,FEMA_5
g17005,-0.3897339720598565,293.0,FEMA_5
g17007,-0.013267896964769155,254.0,FEMA_5
