GEOID,sovi_weighted,rank_weighted
g28049,1.3384279046112133,876.0
g28051,4.267130024211346,164.0
g28053,6.261860245170753,72.0
g28055,-2.8559518149310947,2722.0
g28057,-2.3252429689426233,2581.0
g28059,-1.7833871877785934,2422.0
g28061,0.04796484500988685,1553.0
g28063,4.325764224086361,159.0
g28065,0.6117303843293285,1235.0
g28067,-0.7386049237902376,1989.0
g28069,3.5670678506373887,248.0
g28071,-2.6623510751109496,2678.0
g28073,-3.8855219749165784,2920.0
g28075,0.9867867123686966,1036.0
g28077,-1.8604162185723647,2443.0
g28079,0.5590384707721157,1269.0
g28081,-0.3651593533644295,1797.0
g28083,5.640950856296955,95.0
g28085,-0.6313323675233449,1935.0
g28087,0.7785158277093167,1147.0
g28089,-4.495728888458759,2977.0
g28091,0.547511334648737,1280.0
g28093,-0.39333708471477125,1813.0
g28095,0.50750462627964,1301.0
g28097,2.383143952949714,461.0
g28099,3.4547820299752408,265.0
g28101,0.384954822972283,1374.0
g28103,3.3021560853072356,285.0
g28105,-1.9021412857763118,2460.0
g28107,0.4781610292429159,1323.0
g28109,-1.5998354711716587,2358.0
g28111,-2.3934492739790647,2601.0
g28113,1.18291761199524,943.0
g28115,-1.3901957129415057,2280.0
g28117,0.12345755879988407,1510.0
g28119,4.3810128064222855,154.0
g28121,-3.5406023750929387,2860.0
g28123,0.13497530294858695,1499.0
g28125,8.075502853676673,39.0
g28127,0.2384038409370377,1449.0
g28129,-1.1780796225611507,2190.0
g28131,-2.6102749391997975,2661.0
g28133,1.5742134496915172,775.0
g28135,2.8476277080293415,359.0
g28137,-1.3227831487608215,2258.0
g28139,-0.7755407978589628,2004.0
g28141,0.8518829969175359,1110.0
g28143,4.791340358332844,132.0
g28145,-1.0172070051460764,2107.0
g28147,-0.39329867391363926,1812.0
g28149,0.801632172053586,1136.0
g28151,4.910597624671944,127.0
g28153,-1.4498153100310942,2305.0
g28155,-0.3609681892589427,1795.0
g28157,1.7189034304076618,708.0
g28159,1.9893983246835842,591.0
g28161,1.4026687442691257,846.0
g28163,0.9071045612910054,1072.0
g29001,0.4603564238556306,1334.0
g29003,-1.4372233593324544,2302.0
g29005,0.299528515153332,1421.0
g29007,2.1766392997361588,528.0
g29009,0.09772189589863056,1523.0
g29011,-0.06116563362959668,1614.0
g29013,0.2008180624439569,1465.0
g29015,2.867799813019483,353.0
g29017,-1.1663314507969789,2183.0
g29019,-2.913243360070843,2737.0
g29021,0.6827272980277628,1201.0
g29023,2.7977747025347663,371.0
g29025,-0.42268107913617314,1827.0
g29027,-2.808669450550555,2710.0
g29029,2.358539459733914,470.0
g29031,-0.10336168811570912,1637.0
g29033,0.08013689895645965,1535.0
g29035,3.662801952766906,231.0
g29037,-2.6528239567396605,2674.0
g29039,2.26075674615462,504.0
